Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\CarrierMotherboard\Project Outputs for CarrierMotherboard\Pick Place for CarrierMotherboard.csv

========================================================================================================================
File Design Information:

Date:       17/11/25
Time:       22:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J902A","","TopLayer","TE_21992304","130.7076","94.2591","0",""
"D704","TPD1E0B04DPLR","TopLayer","FP-DPL0002A-MFG","161.6820","87.7145","0","TVS DIODE 3.6V 10.1V 2X2SON"
"C906","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","111.2742","75.1332","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"TP9","","TopLayer","FP-S2751-46R-MFG","67.0000","67.6000","0","PC TEST POINT NATURAL"
"J401","632723300011","TopLayer","632723300011","33.8400","107.0000","270","Conn USB 3.1 Type C RCP 24 POS 0.5mm/0.4mm Solder RA SMD/Thru-Hole 24 Terminal 1 Port T/R"
"Y902","ECS-327MVATX-2-CN-TR3","TopLayer","OSC_ECS-2520S25-250-FN-TR","107.4514","87.5201","90","Oscillator, 32.768kHz, CMOS, SMD, 2.5mm x 2mm, 3.6V, 25ppm, MultiVolt ECS-327MVATX Series"
"U903","TPA2016D2RTJT","TopLayer","RTJ0020D_V","111.9378","79.4387","0","2.8-W/Ch Stereo Class-D Audio Amplifier with SmartGainTM AGC / DRC, -40 to 85 degC, 20-pin QFN (RTJ20), Green (RoHS & no Sb/Br)"
"U901","TPS22918TDBVRQ1","TopLayer","FP-DBV0006A-IPC_C","92.0496","77.4954","90","IC PWR SWITCH N-CHAN 1:1 SOT23-6"
"U703","TPS2001CDGNR","TopLayer","DGN0008D_L","160.2000","76.2000","0","Single Channel, Current-Limited USB Power Distribution Switch, 2.9 A Current Limit, -40 to 85 degC, 8-pin MSOP-PowerPAD (DGN), Green (RoHS & no Sb/Br)"
"U702","TPS7A0518PDBVT","TopLayer","SOT95P280X145-5N","88.2000","52.4000","90","200mA, ultra-low-IQ, high-accuracy, low-dropout voltage regulator with enable 5-SOT-23 -40 to 125"
"U701","NTS0102GT","TopLayer","PSON50P100X195X50-8N","95.8850","55.0672","180","Line Transceiver, PDSO8, 1 X 1.95 Mm, 0.50 Mm Height, Plastic, MO-252, SOT833-1, SON-8"
"U603","SIC431AED-T1-GE3","TopLayer","FP-T22-0442-MFG","56.5438","71.1763","0","SIC431AED-T1-GE3 IC Reg Buck Adj 24A MLP44-24"
"U601","SIC431AED-T1-GE3","TopLayer","FP-T22-0442-MFG","77.8438","58.3493","0","SIC431AED-T1-GE3 IC Reg Buck Adj 24A MLP44-24"
"U502","BQ25792RQMR","TopLayer","FP-RQM0029A-MFG","35.8125","69.2000","270","I2C CONTROLLED, 5-A, 1-4 CELL BU"
"U501","TPS26630RGET","TopLayer","FP-RGE0024H-MFG","35.4500","83.3875","0","POWER MANAGEMENT"
"U404","TPD4E05U06QDQARQ1","TopLayer","FP-DQA0010A-MFG","47.8825","109.4000","0","TVS DIODE 5.5V 14V 10USON"
"U403","TPD4E05U06QDQARQ1","TopLayer","FP-DQA0010A-MFG","30.0000","115.5825","270","TVS DIODE 5.5V 14V 10USON"
"U402","TPD4E05U06QDQARQ1","TopLayer","FP-DQA0010A-MFG","48.8000","105.0000","0","TVS DIODE 5.5V 14V 10USON"
"U401","STUSB4500QTR","TopLayer","FP-QFN-24-EP_4x4-MFG","47.9500","98.0000","270","4.1V~22V USB 2.0 I2C Controllers Interface ICs STUSB45 Controller 24-VFQFN Exposed Pad"
"U301","TPS61088RHLT","TopLayer","FP-RHL0020A-MFG","154.7114","101.4476","0","IC REG BOOST ADJ 10A 20VQFN"
"TP701","TP_1V8_LDO","TopLayer","FP-S2751-46R-MFG","90.6500","59.0500","0","PC TEST POINT NATURAL"
"TP700","TP","TopLayer","FP-S2751-46R-MFG","35.6446","125.6290","0","PC TEST POINT NATURAL"
"TP603","TP_3V3_OUT","TopLayer","FP-S2751-46R-MFG","69.3485","74.5121","0","PC TEST POINT NATURAL"
"TP505","GND","TopLayer","FP-S2751-46R-MFG","51.3000","59.1000","180","PC TEST POINT NATURAL"
"TP504","TP_SYS_IN","BottomLayer","FP-S2751-46R-MFG","47.1000","68.9000","180","PC TEST POINT NATURAL"
"TP503","GND","TopLayer","FP-S2751-46R-MFG","28.6000","75.5000","90","PC TEST POINT NATURAL"
"TP502","TP_INJECT_VOLT","TopLayer","FP-S2751-46R-MFG","28.7000","72.1000","90","PC TEST POINT NATURAL"
"TP501","TP_VSYS_IN","TopLayer","FP-S2751-46R-MFG","27.8000","92.5000","90","PC TEST POINT NATURAL"
"TP500","GND","TopLayer","FP-S2751-46R-MFG","27.9000","86.7000","90","PC TEST POINT NATURAL"
"TP7","TP_M2_M_SMB_CLK","TopLayer","FP-S2751-46R-MFG","86.0552","83.3374","0","PC TEST POINT NATURAL"
"TP6","TP_M2_M_SMB_DATA","TopLayer","FP-S2751-46R-MFG","85.9028","80.8736","0","PC TEST POINT NATURAL"
"TP5","TP_M2_M_ALERT#","TopLayer","FP-S2751-46R-MFG","86.0363","78.5237","0","PC TEST POINT NATURAL"
"TP4","TP_UART_WAKE#","TopLayer","FP-S2751-46R-MFG","127.1778","82.1944","0","PC TEST POINT NATURAL"
"TP3","TP_W_DISABLE2","TopLayer","FP-S2751-46R-MFG","134.0104","82.2960","0","PC TEST POINT NATURAL"
"TP2","TP_W_DISABLE1","TopLayer","FP-S2751-46R-MFG","136.8298","82.4992","0","PC TEST POINT NATURAL"
"S701","KMR211NGLFS","TopLayer","SW_KMR211NGLFS","40.1828","125.2220","180","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 32VDC 1VA 200000Cycle 1.2N SMD T/R"
"RN104","EXB-18VR000X","BottomLayer","FP-EXB-18V-MFG","126.3860","93.7736","270","RES ARRAY 4 RES ZERO OHM 0502"
"RN101","","BottomLayer","FP-EXB-18V-MFG","113.7766","89.9160","270","RES ARRAY 4 RES ZERO OHM 0502"
"R910","100k","TopLayer","FP-RC0402-0_4-IPC_A","113.5349","84.0740","270","RES 100K OHM 5% 1/16W 0402"
"R909","2k7","TopLayer","FP-CR0402-IPC_B","111.6584","84.0740","90","Thick Film Chip Resistors 0402 2.7kO 0.0625W 1% 100ppm/°C"
"R908","2k7","TopLayer","FP-CR0402-IPC_B","115.6716","83.9216","90","Thick Film Chip Resistors 0402 2.7kO 0.0625W 1% 100ppm/°C"
"R907","50","TopLayer","FP-CRCW0603-e3-MFG","115.4938","75.5904","0","RES Thick Film, 50O, 1%, 0.1W, 100ppm/°C, 0603"
"R906","50","TopLayer","FP-CRCW0603-e3-MFG","109.9700","70.9930","0","RES Thick Film, 50O, 1%, 0.1W, 100ppm/°C, 0603"
"R905","10k","TopLayer","RESC1005X40X25LL05T10","101.9048","80.3910","270",""
"R904","10k","TopLayer","RESC1005X40X25LL05T10","109.2945","76.3920","180",""
"R903","10k","TopLayer","RESC1005X40X25LL05T10","106.6800","80.5688","270",""
"R902","27","TopLayer","RESC1005X40X25LL05T10","96.2152","79.2286","270",""
"R900","27","TopLayer","RESC1005X40X25LL05T10","95.1432","79.2164","270",""
"R703","100k","TopLayer","FP-RC0402-0_4-IPC_A","160.6214","73.0000","0","RES 100K OHM 5% 1/16W 0402"
"R702","100k","TopLayer","FP-RC0402-0_4-IPC_A","39.0358","121.5253","180","RES 100K OHM 5% 1/16W 0402"
"R701","100","TopLayer","RESC1005X40X25ML05T10","42.1132","121.0056","90",""
"R618","10k","TopLayer","RESC1005X40X25LL05T10","61.9000","74.3000","270",""
"R617","45k3","TopLayer","RESC1005X40X25ML05T10","64.0000","74.5000","90",""
"R612","0r","TopLayer","RESC1005X40X25LL05T05","60.5000","75.8000","270","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R610","10k","TopLayer","RESC1005X40X25LL05T10","83.3295","59.6578","180",""
"R609","73k2","TopLayer","RESC1005X40X25LL10T10","81.7000","61.0750","90",""
"R608","499k","TopLayer","RESC1005X40X25NL10T10","58.9540","75.9250","270",""
"R607","499k","TopLayer","RESC1005X40X25NL10T10","57.8000","75.9250","270",""
"R604","499k","TopLayer","RESC1005X40X25NL10T10","76.9412","63.8500","270",""
"R603","499k","TopLayer","RESC1005X40X25NL10T10","75.5447","64.3000","0",""
"R602","2k7","TopLayer","FP-CR0402-IPC_B","80.3765","65.9767","270","Thick Film Chip Resistors 0402 2.7kO 0.0625W 1% 100ppm/°C"
"R601","20k","TopLayer","FP-CR0402-IPC_A","78.5622","65.9638","90","Thick Film Chip Resistors 0402 20kO 0.0625W 1% 100ppm/°C"
"R523","27k","TopLayer","RESC1005X40X25LL05T10","36.0680","63.7286","270",""
"R522","10k","TopLayer","FP-NCP15-NCU15-0_05-IPC_C","31.9786","64.9000","180","NTC Thermistor for Temperature Sensor, 0402, 10kO, 1%, 0.1mA, 5V"
"R521","100","TopLayer","RESC1005X40X25ML05T10","34.8967","62.5973","270",""
"R520","0","TopLayer","RESC1005X40X25NL05T10","32.8854","62.2960","180",""
"R519","10k","TopLayer","RESC1005X40X25LL05T10","32.8750","63.4000","0",""
"R518","10k","TopLayer","RESC1005X40X25LL05T10","37.1547","63.7265","90",""
"R517","10k","TopLayer","RESC1005X40X25LL05T10","31.6000","67.6250","90",""
"R516","10k","TopLayer","RESC1005X40X25LL05T10","32.8000","67.6250","90",""
"R515","100k","TopLayer","FP-RC0402-0_4-IPC_A","29.5606","67.8598","180","RES 100K OHM 5% 1/16W 0402"
"R514","1k","TopLayer","RESC3216X60X45ML15T20","49.0366","68.0471","270","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"R513","10k","TopLayer","RESC1005X40X25LL05T10","46.5826","68.5960","180",""
"R512","100k","TopLayer","FP-RC0402-0_4-IPC_A","45.2000","85.8214","90","RES 100K OHM 5% 1/16W 0402"
"R511","3.57k","TopLayer","RESC1005X40X25ML05T10","36.3000","77.6000","90",""
"R510","10k","TopLayer","RESC1005X40X25LL05T10","38.2000","77.2000","90",""
"R509","10k","TopLayer","RESC1005X40X25LL05T10","49.6750","83.6000","0",""
"R508","100","TopLayer","RESC1005X40X25ML05T10","40.0000","76.0000","180",""
"R507","100","TopLayer","RESC1005X40X25ML05T10","40.0380","80.6196","180",""
"R506","100","TopLayer","RESC1005X40X25ML05T10","47.3000","83.6000","0",""
"R505","289k","TopLayer","RESC1005X40X25LL05T10","40.9702","85.0900","90",""
"R504","1.8m","TopLayer","FP-CRCW0402-e3-MFG","31.1404","79.7306","180","RES Thick Film, 1.78MO, 1%, 0.063W, 100ppm/°C, 0402"
"R502","100k","TopLayer","FP-RC0402-0_4-IPC_A","32.1955","77.7098","0","RES 100K OHM 5% 1/16W 0402"
"R501","100k","TopLayer","FP-RC0402-0_4-IPC_A","28.3214","81.9000","0","RES 100K OHM 5% 1/16W 0402"
"R411","22k","TopLayer","RESC1005X40X25NL05T10","50.3750","91.8000","0",""
"R410","22k","TopLayer","RESC1005X40X25NL05T10","43.5610","92.6084","180",""
"R409","4k7","TopLayer","RESC1005X40X25NL10T10","27.1526","121.7236","270",""
"R408","1k","TopLayer","RESC3216X60X45ML15T20","56.2000","94.3000","0","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"R407","100k","TopLayer","FP-RC0402-0_4-IPC_A","48.3848","90.3897","270","RES 100K OHM 5% 1/16W 0402"
"R406","22k","TopLayer","RESC1005X40X25NL05T05","38.4000","93.9000","180",""
"R405","100k","TopLayer","RESC1005X40X25NL05T10","34.7250","93.9000","180",""
"R404","100k","TopLayer","FP-RC0402-0_4-IPC_A","46.2000","90.4000","270","RES 100K OHM 5% 1/16W 0402"
"R403","1k","TopLayer","RESC3216X60X45ML15T20","39.5986","97.3074","180","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"R402","100","TopLayer","RESC1005X40X25ML05T10","36.8000","91.7000","90",""
"R401","10k","TopLayer","RESC1005X40X25LL05T10","43.8000","101.1000","0",""
"R314","100k","TopLayer","FP-CRCW0603C-e3-MFG","164.8714","107.9754","0","RES SMD 100K OHM 1% 1/10W 0603"
"R313","100k","TopLayer","FP-CRCW0603C-e3-MFG","164.8629","110.3072","0","RES SMD 100K OHM 1% 1/10W 0603"
"R312","100k","TopLayer","FP-RC0402-0_4-IPC_A","167.0812","111.0782","90","RES 100K OHM 5% 1/16W 0402"
"R308","0","TopLayer","RESC1005X40X25NL05T10","168.5550","105.0411","0",""
"R307","0","TopLayer","RESC1005X40X25NL05T10","167.3606","103.6574","0",""
"R306","100k","TopLayer","FP-CRCW0603C-e3-MFG","162.6616","102.6922","0","RES SMD 100K OHM 1% 1/10W 0603"
"R305","732k","TopLayer","FP-CRCW0603-e3-IPC_B","158.8937","102.4674","90","RES Thick Film, 732kO, 1%, 0.1W, 100ppm/°C, 0603"
"R304","100k","TopLayer","FP-CRCW0603C-e3-MFG","156.6164","106.4514","270","RES SMD 100K OHM 1% 1/10W 0603"
"R303","18.2k","TopLayer","FP-CRCW0603-e3-IPC_C","158.5164","105.1885","90","RES Thick Film, 18.2kO, 1%, 0.1W, 100ppm/°C, 0603"
"R302","100k","TopLayer","FP-CRCW0603C-e3-MFG","151.6380","108.1024","180","RES SMD 100K OHM 1% 1/10W 0603"
"R301","301k","TopLayer","FP-CRCW0603-e3-IPC_C","150.9830","105.4606","0","RES Thick Film, 301kO, 1%, 0.1W, 100ppm/°C, 0603"
"R208","1k","TopLayer","RESC3216X60X45ML15T20","120.3970","112.4712","0","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"R207","47k","TopLayer","RESC1005X40X25ML05T10","99.2378","88.0440","270",""
"R206","100","TopLayer","RESC1005X40X25ML05T10","113.9952","114.0460","180",""
"R205","100k","TopLayer","FP-RC0402-0_4-IPC_A","52.2995","110.4361","180","RES 100K OHM 5% 1/16W 0402"
"R204","100","TopLayer","RESC1005X40X25ML05T10","82.6262","45.8470","180",""
"R203","100","TopLayer","RESC1005X40X25ML05T10","55.2628","110.5916","180",""
"R202","100k","TopLayer","FP-RC0402-0_4-IPC_A","86.8786","58.9000","0","RES 100K OHM 5% 1/16W 0402"
"R201","22.4A","TopLayer","FP-HCJ0603-MFG","63.2968","120.4468","270","RES 0 OHM JUMPER 1/4W 0603"
"R106","200","TopLayer","FP-CR0402-IPC_C","87.4522","85.9028","270","Thick Film Chip Resistors 0402 200O 0.0625W 1% 100ppm/°C"
"R105","200R","TopLayer","FP-CR0402-IPC_C","122.8852","85.9766","270","Thick Film Chip Resistors 0402 200O 0.0625W 1% 100ppm/°C"
"R104","200R","TopLayer","FP-CR0402-IPC_C","117.4868","85.3236","270","Thick Film Chip Resistors 0402 200O 0.0625W 1% 100ppm/°C"
"R102","0R","TopLayer","RESC1005X40X25LL05T05","122.7204","100.7591","270","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R101","0R","TopLayer","RESC1005X40X25LL05T05","121.8587","100.7591","270","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"Q401","STL6P3LLH6","TopLayer","TRANS_STL6P3LLH6","31.1000","97.1875","90","P-channel 30 V, 0.024 Ohm typ., 6 A STripFET H6 Power MOSFET in a PowerFLAT 3.3 x 3.3 package"
"P802","S2B-PH-K-S(LF)(SN)","TopLayer","JST-S2B-PH-K-S_V","118.9990","33.4380","0","Male Header, Pitch 2 mm, 1 x 2 Position, Height 4.8 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"P801","S2B-PH-K-S(LF)(SN)","TopLayer","JST-S2B-PH-K-S_V","111.7854","33.5142","0","Male Header, Pitch 2 mm, 1 x 2 Position, Height 4.8 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"L603","0.56µH/27.5A","TopLayer","FP-IHLP-4040DZ-FP_3_175x4-MFG","58.0898","62.1030","270","Commercial Inductors, High Saturation Series 0.56uH 27.5A 1.8mO 20%"
"L601","1u/20a","TopLayer","FP-SRP6050CA-MFG","77.4119","52.0210","0","FIXED IND 1UH 20A 4.52 MOHM SMD"
"L301","2.2u","TopLayer","FP-XAL5030-222MEC-MFG","147.4158","101.5706","90","Fixed Inductors 2.2uH Shld 20% 9.2A 14.5mOhms AECQ2 SRF: 38MHz Test Freq: 1MHz"
"J902","1-2199230-6","TopLayer","FP-1-2199230-6-MFG","96.5026","94.1960","0","Card Edge Connector, Dual Side, 67 Contacts, Surface Mount, Right Angle"
"J703","292303-1","TopLayer","TE-292303-1_V","166.2110","87.0000","90","1 Port Right Angle Through Hole Mount Female Type A USB Connector, 4 Position, -55 to 85 degC, RoHS, Tube"
"J702","533980471","TopLayer","FP-533980471-MFG","96.1136","28.4580","0","CONN HEADER SMD 4POS 1.25MM"
"J701","TC2050-IDC-NL","TopLayer","TAG-CONNECT_TC2050-IDC-NL","51.5142","121.4321","180","Adapter Cbl Plug Of Nails 10PIN"
"J301","20455-040E-76","TopLayer","IPEX_20455-040E-76","173.5900","112.2500","270","Conn Wire to Board RCP 40 POS 0.5mm Solder RA Side Entry SMDCABLINE® T/R"
"J300","TP_10V_OUT","TopLayer","FP-S2751-46R-MFG","165.9636","97.4852","180","10V nominal"
"J202","S2751-46R1","TopLayer","FP-S2751-46R-MFG","53.4924","108.1278","0","PC TEST POINT NATURAL"
"D703","TPD1E0B04DPLR","TopLayer","FP-DPL0002A-MFG","161.6820","86.1195","0","TVS DIODE 3.6V 10.1V 2X2SON"
"D701","TPD1E0B04DPYR","TopLayer","FP-DPY0002A-MFG","44.2548","124.2568","0","TVS DIODE 3.6V 19V 2X1SON"
"D501","LED_GREEN","TopLayer","FP-SML-D12-MFG","46.1616","69.9678","0","LED YLW/GREEN DIFFUSED 1608 SMD"
"D403","Green LED","TopLayer","FP-LTST-C190GKT-MFG","27.1000","124.0000","270","LED GREEN CLEAR CHIP SMD"
"D401","ESDA25P35-1U1M","TopLayer","FP-QFN_1610-MFG","30.2000","90.5000","270","TVS DIODE 22V 41V 1610"
"D103","Green","TopLayer","FP-LTST-C190GKT-MFG","121.1301","85.8591","270","LED GREEN CLEAR CHIP SMD"
"D102","Green","TopLayer","FP-LTST-C190GKT-MFG","118.5229","87.5098","270","LED GREEN CLEAR CHIP SMD"
"D101","Green","TopLayer","FP-LTST-C190GKT-MFG","85.2424","86.2972","270","LED GREEN CLEAR CHIP SMD"
"D402","SMF24A","TopLayer","FP-SMF24A-MFG","33.2000","121.9000","90","TVS DIODE 24V 38.9V SOD123F"
"C920","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","118.3806","76.4750","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C919","1µF","TopLayer","FP-GRM15-0_1-MFG","116.7638","79.6290","270","CAP CER 1UF 10V X5R 0402"
"C912","1µF","TopLayer","FP-GRM15-0_1-MFG","115.8123","77.5694","180","CAP CER 1UF 10V X5R 0402"
"C911","1µF","TopLayer","FP-GRM15-0_1-MFG","108.5532","82.6008","0","CAP CER 1UF 10V X5R 0402"
"C910","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","90.8558","81.8864","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C909","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","104.6766","68.5546","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C908","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","90.5271","74.1220","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C905","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","110.5057","73.3067","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C904","1µF","TopLayer","FP-GRM15-0_1-MFG","100.5564","68.6946","270","CAP CER 1UF 10V X5R 0402"
"C903","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","95.3230","76.5810","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C902","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","103.3450","81.9803","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C901","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","104.7974","84.4634","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C711","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","164.8460","74.7794","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C710","1µF","TopLayer","FP-GRM15-0_1-MFG","156.2000","75.0000","270","CAP CER 1UF 10V X5R 0402"
"C709","1µF","TopLayer","FP-GRM15-0_1-MFG","88.8000","55.6000","0","CAP CER 1UF 10V X5R 0402"
"C708","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","92.0000","49.3000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C707","100nF","TopLayer","FP-GRM155-0_05-IPC_B","93.5228","53.7432","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C706","100nF","TopLayer","FP-GRM155-0_05-IPC_B","98.4472","56.4642","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C703","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","44.1953","122.7706","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C633","100u","TopLayer","FP-OS-CON-SMT-B6-MFG","74.2000","69.3000","90","Conductive Polymer Aluminum Solid Capacitors (OS-CON) 100uF ±20% 6.3V"
"C632","22u","TopLayer","FP-CL10-IPC_B","69.8000","71.5270","270","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C630","22u","TopLayer","FP-CL10-IPC_B","67.4578","71.5239","270","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C628","22u","TopLayer","FP-CL10-IPC_B","65.2917","71.6399","270","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C626","22u","TopLayer","FP-CL10-IPC_B","63.0559","71.6399","270","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
